1482912139.814	#0	11844	10067	1564	67	146	9999	30	137	0	200
1482912140.748	#1	327	81	195	4	47	6	30	137	0	200
1482912141.579	#2	348	96	199	4	49	6	30	137	0	200
1482912142.337	#3	608	299	258	5	46	45	30	137	0	200
1482912143.035	#4	372	59	14	267	32	253	30	137	0	200
1482912143.688	#5	323	67	205	4	47	6	30	137	0	200
1482912144.302	#6	333	81	200	5	47	6	30	137	0	200
1482912144.885	#7	351	76	199	4	72	6	30	137	0	200
1482912145.440	#8	438	86	198	4	150	7	30	137	0	200
1482912145.970	#9	350	77	202	3	68	6	30	137	0	200
1482912146.480	#10	1267	262	700	16	289	23	30	137	0	200
1482912146.971	#11	321	75	194	4	48	5	30	137	0	200
1482912147.444	#12	809	170	515	12	112	18	30	137	0	200
1482912147.904	#13	545	109	352	7	77	12	30	137	0	200
1482912148.349	#14	331	82	198	4	47	6	30	137	0	200
1482912148.782	#15	400	86	247	6	61	8	30	137	0	200
1482912149.202	#16	502	99	313	24	66	25	30	137	0	200
1482912149.611	#17	398	85	247	6	60	10	30	137	0	200
1482912150.012	#18	339	60	16	232	31	235	30	137	0	200
1482912150.403	#19	316	69	196	4	47	6	30	137	0	200
1482912150.785	#20	315	70	197	5	43	6	30	137	0	200
1482912151.158	#21	357	86	218	5	48	6	30	137	0	200
1482912151.526	#22	694	132	452	10	100	14	30	137	0	200
1482912151.885	#23	675	130	440	10	95	13	30	137	0	200
1482912152.237	#24	327	81	195	4	47	6	30	137	0	200
1482912152.583	#25	636	120	416	9	91	12	30	137	0	200
1482912152.923	#26	599	121	383	8	87	11	30	137	0	200
1482912153.258	#27	577	128	345	6	98	9	30	137	0	200
1482912153.585	#28	377	82	234	5	56	8	30	137	0	200
1482912153.910	#29	336	73	199	4	60	5	30	137	0	200
1482912154.229	#30	331	81	198	5	47	6	30	137	0	200
1482912154.543	#31	599	118	384	9	88	12	30	137	0	200
1482912154.852	#32	614	105	348	8	153	11	30	137	0	200
1482912155.156	#33	335	83	199	5	48	7	30	137	0	200
1482912155.459	#34	477	193	232	4	48	29	30	137	0	200
1482912155.754	#35	365	75	238	5	47	6	30	137	0	200
1482912156.048	#36	368	106	186	8	68	10	30	137	0	200
1482912156.337	#37	471	96	276	7	92	9	30	137	0	200
1482912156.623	#38	308	71	189	4	44	6	30	137	0	200
1482912156.904	#39	328	68	209	4	47	5	30	137	0	200
1482912157.184	#40	305	69	189	4	43	5	30	137	0	200
1482912157.459	#41	318	72	194	4	48	6	30	137	0	200
